2024-11-15 23:49:05, CPU: 0%, Memory: 4.03%, Disk: 1%, Network: 
2024-11-15 23:50:44, CPU: 0.3%, Memory: 4.07%, Disk: 1%, Network: 8600144
2024-11-16 00:19:36, CPU: 0.6%, Memory: 4.10%, Disk: 1%, Network: 2002
2024-11-16 00:19:52, CPU: 0.3%, Memory: 4.08%, Disk: 1%, Network: 4118
2024-11-16 00:49:29, CPU: 0.6%, Memory: 4.02%, Disk: 1%, Network: 1866
2024-11-16 00:50:26, CPU: 1%, Memory: 4.04%, Disk: 1%, Network: 8370
2024-11-16 00:55:08, CPU: 20.8863%, Memory: 44.1211%, Disk: 4%, Network: 8541
2024-11-16 01:17:43, CPU: 0.0%, Memory: 0.0%, Disk: 14%
2024-11-16 01:35:01, CPU: 0.3%, Memory: 4.03408%, Disk: 1%
2024-11-16 01:40:01, CPU: 1.3%, Memory: 4.13007%, Disk: 1%
2024-11-16 01:45:01, CPU: 0.3%, Memory: 4.02343%, Disk: 1%
2024-11-16 01:50:01, CPU: 2.0%, Memory: 4.10263%, Disk: 1%
2024-11-16 01:55:01, CPU: 0.0%, Memory: 4.04155%, Disk: 1%
2024-11-16 02:00:01, CPU: 2.0%, Memory: 4.05794%, Disk: 1%
2024-11-16 02:05:01, CPU: 0.0%, Memory: 4.02022%, Disk: 1%
2024-11-16 02:10:01, CPU: 0.3%, Memory: 4.10265%, Disk: 1%
2024-11-16 02:15:01, CPU: 1.0%, Memory: 4.02498%, Disk: 1%
2024-11-16 02:20:01, CPU: 1.3%, Memory: 4.12235%, Disk: 1%
2024-11-16 02:25:01, CPU: 0.0%, Memory: 4.03997%, Disk: 1%
2024-11-16 02:30:01, CPU: 3.0%, Memory: 4.11121%, Disk: 1%
2024-11-16 02:35:01, CPU: 0.0%, Memory: 4.27053%, Disk: 1%
2024-11-16 02:40:01, CPU: 1.3%, Memory: 4.3503%, Disk: 1%
2024-11-16 02:45:01, CPU: 1.0%, Memory: 4.30171%, Disk: 1%
2024-11-16 02:50:01, CPU: 0.7%, Memory: 4.35722%, Disk: 1%
2024-11-16 02:55:02, CPU: 0.3%, Memory: 4.3202%, Disk: 1%
2024-11-16 03:00:01, CPU: 2.7%, Memory: 4.38525%, Disk: 1%
2024-11-16 08:40:01, CPU: 0.6%, Memory: 4.37731%, Disk: 1%
2024-11-16 08:45:01, CPU: 0.6%, Memory: 4.31105%, Disk: 1%
2024-11-16 08:50:01, CPU: 1.3%, Memory: 4.3288%, Disk: 1%
2024-11-16 08:55:01, CPU: 0.3%, Memory: 4.29954%, Disk: 1%
2024-11-16 09:00:01, CPU: 1.6%, Memory: 4.33183%, Disk: 1%
2024-11-16 09:05:01, CPU: 0.0%, Memory: 4.3202%, Disk: 1%
2024-11-16 09:10:01, CPU: 1.6%, Memory: 4.33987%, Disk: 1%
2024-11-16 09:15:01, CPU: 1.3%, Memory: 4.29932%, Disk: 1%
2024-11-16 09:20:01, CPU: 1.0%, Memory: 4.32138%, Disk: 1%
2024-11-16 09:25:01, CPU: 0.0%, Memory: 4.31692%, Disk: 1%
2024-11-16 09:30:01, CPU: 2.6%, Memory: 4.29703%, Disk: 1%
2024-11-16 09:35:01, CPU: 0.0%, Memory: 4.28465%, Disk: 1%
